,date,tic,open,high,low,close,volume,day
20877,2017-09-20,600028.SH,4.736,4.736,4.6877,4.6958,420872.55,2
20878,2017-09-20,600030.SH,17.1687,17.2632,17.0931,17.1309,707197.17,2
20879,2017-09-20,600031.SH,7.3384,7.3384,7.2347,7.2818,378543.45,2
20880,2017-09-20,600036.SH,23.8813,24.0734,23.616,23.6801,517859.47,2
20881,2017-09-20,600048.SH,10.2295,10.2737,9.9468,9.9733,1233089.91,2
20882,2017-09-20,600050.SH,7.0767,7.1548,7.0279,7.0377,3271482.91,2
20883,2017-09-20,600104.SH,25.0234,25.3319,24.9806,25.0491,249835.98,2
20884,2017-09-21,600000.SH,11.705,11.7869,11.6776,11.7141,201402.68,3
20885,2017-09-21,600009.SH,37.532,37.5806,36.7638,36.8416,92051.81,3
20886,2017-09-21,600016.SH,5.9271,5.9776,5.9127,5.9416,703692.4,3
20887,2017-09-21,600028.SH,4.7038,4.7119,4.6796,4.7038,406796.9,3
20888,2017-09-21,600030.SH,17.1309,17.3483,17.1025,17.1214,814199.18,3
20889,2017-09-21,600031.SH,7.2818,7.2818,7.1969,7.1969,423257.24,3
20890,2017-09-21,600036.SH,23.7349,24.0459,23.6435,23.8356,409272.53,3
20891,2017-09-21,600048.SH,10.0087,10.15,9.938,10.0087,904678.42,3
20892,2017-09-21,600050.SH,7.0767,7.4672,7.0474,7.3012,7781185.45,3
20893,2017-09-21,600104.SH,25.1948,25.3919,25.0748,25.2977,165820.1,3
20894,2017-09-22,600000.SH,11.6867,11.7596,11.6412,11.7323,241926.87,4
20895,2017-09-22,600009.SH,36.8805,37.143,36.7638,37.0555,51539.62,4
20896,2017-09-22,600016.SH,5.9271,5.9416,5.8982,5.9055,686340.28,4
20897,2017-09-22,600028.SH,4.6958,4.736,4.6555,4.736,1006619.68,4
20898,2017-09-22,600030.SH,17.0836,17.2254,16.8378,17.1498,1012084.88,4
20899,2017-09-22,600031.SH,7.2158,7.2158,6.9989,7.0366,611032.64,4
20900,2017-09-22,600036.SH,23.6892,24.0368,23.6252,23.7349,280309.92,4
20901,2017-09-22,600048.SH,9.9998,10.1854,9.9027,9.991,660406.24,4
20902,2017-09-22,600050.SH,7.2427,7.3305,7.1841,7.2329,2973538.99,4
20903,2017-09-22,600104.SH,25.2291,26.0175,25.1777,25.9747,426682.18,4
20904,2017-09-25,600000.SH,11.7323,11.7869,11.5684,11.7778,506876.28,0
20905,2017-09-25,600009.SH,37.0166,37.425,36.2971,37.3861,75016.35,0
20906,2017-09-25,600016.SH,5.8982,5.9127,5.8838,5.891,671708.03,0
20907,2017-09-25,600028.SH,4.736,4.7844,4.7038,4.7763,1204764.82,0
20908,2017-09-25,600030.SH,17.112,17.1781,16.9323,17.0931,860454.64,0
20909,2017-09-25,600031.SH,7.0177,7.0272,6.8857,6.9045,505560.06,0
20910,2017-09-25,600036.SH,23.6526,23.8904,23.5063,23.6069,320064.96,0
20911,2017-09-25,600048.SH,9.726,9.7437,9.302,9.3373,1586831.85,0
20912,2017-09-25,600050.SH,7.2134,7.2231,6.9889,7.0084,3068276.71,0
20913,2017-09-25,600104.SH,25.9747,26.2917,25.9661,26.1375,314167.88,0
20914,2017-09-26,600000.SH,11.7323,11.7687,11.6958,11.705,221633.11,1
20915,2017-09-26,600009.SH,37.2403,37.5028,36.8027,37.3667,34266.41,1
20916,2017-09-26,600016.SH,5.913,5.9203,5.891,5.8983,438943.89,1
20917,2017-09-26,600028.SH,4.7924,4.8407,4.7844,4.8005,1043187.45,1
20918,2017-09-26,600030.SH,17.0269,17.1214,16.9796,17.0174,505264.35,1
20919,2017-09-26,600031.SH,6.9045,6.9611,6.8668,6.9328,335931.12,1
20920,2017-09-26,600036.SH,23.5154,23.6892,23.4514,23.5154,224680.76,1
20921,2017-09-26,600048.SH,9.355,9.5317,9.3108,9.408,538439.45,1
20922,2017-09-26,600050.SH,7.0182,7.1841,6.9986,7.1451,2601089.53,1
20923,2017-09-26,600104.SH,26.0946,26.3603,25.9404,26.1032,169099.61,1
20924,2017-09-27,600000.SH,11.6776,11.7505,11.6139,11.6958,263747.52,2
20925,2017-09-27,600009.SH,37.0944,37.425,37.0458,37.0944,30337.29,2
20926,2017-09-27,600016.SH,5.891,5.9056,5.869,5.869,460244.42,2
20927,2017-09-27,600028.SH,4.7924,4.8005,4.7602,4.7682,414927.6,2
20928,2017-09-27,600030.SH,17.008,17.1498,16.9134,17.0458,550602.74,2
20929,2017-09-27,600031.SH,6.914,7.1403,6.8574,7.1215,651942.82,2
20930,2017-09-27,600036.SH,23.4788,23.552,23.1587,23.2319,337791.55,2
20931,2017-09-27,600048.SH,9.461,9.5228,9.3461,9.514,477418.02,2
20932,2017-09-27,600050.SH,7.1158,7.3208,7.0963,7.2915,3374221.94,2
20933,2017-09-27,600104.SH,26.206,26.4374,26.0346,26.0775,211983.96,2
20934,2017-09-28,600000.SH,11.6958,11.7232,11.623,11.6867,241249.34,3
20935,2017-09-28,600009.SH,37.2403,37.425,36.9777,37.2694,29654.3,3
20936,2017-09-28,600016.SH,5.8837,5.891,5.847,5.8544,488659.4,3
20937,2017-09-28,600028.SH,4.7682,4.7844,4.728,4.7521,517773.18,3
20938,2017-09-28,600030.SH,17.0269,17.0931,16.9701,17.0458,369125.17,3
20939,2017-09-28,600031.SH,7.1215,7.1498,7.0555,7.0555,352465.64,3
20940,2017-09-28,600036.SH,23.3051,23.3142,22.9758,23.049,347232.19,3
20941,2017-09-28,600048.SH,9.514,9.5317,9.196,9.2225,835400.18,3
20942,2017-09-28,600050.SH,7.3208,7.3793,7.2524,7.2622,2628313.83,3
20943,2017-09-28,600104.SH,26.1375,26.1632,25.6576,26.0689,163168.28,3
20944,2017-09-29,600000.SH,11.6685,11.7505,11.6594,11.7141,198222.63,4
20945,2017-09-29,600009.SH,37.2403,37.6292,36.6666,36.9291,47383.2,4
20946,2017-09-29,600016.SH,5.8617,5.8983,5.8617,5.8763,460678.14,4
20947,2017-09-29,600028.SH,4.7521,4.7682,4.728,4.7521,415373.86,4
20948,2017-09-29,600030.SH,17.0552,17.3483,17.0458,17.197,848759.02,4
20949,2017-09-29,600031.SH,7.0837,7.2441,7.0837,7.2158,416485.19,4
20950,2017-09-29,600036.SH,23.049,23.5795,22.9849,23.3691,471641.83,4
20951,2017-09-29,600048.SH,9.2578,9.302,9.1253,9.1871,501572.16,4
20952,2017-09-29,600050.SH,7.2719,7.311,7.1646,7.2427,2529695.52,4
20953,2017-09-29,600104.SH,26.0689,26.2917,25.7347,25.8718,157621.4,4
20954,2017-10-09,600000.SH,12.0781,12.0963,11.8324,11.8688,521490.81,0
20955,2017-10-09,600009.SH,37.3375,37.9015,37.2014,37.4931,88022.87,0
20956,2017-10-09,600016.SH,5.9936,6.0156,5.935,5.9496,935392.25,0
20957,2017-10-09,600028.SH,4.7763,4.7763,4.7119,4.728,724989.48,0
20958,2017-10-09,600030.SH,17.6225,17.7359,17.0836,17.1214,1394761.49,0
20959,2017-10-09,600031.SH,7.2818,7.3479,7.263,7.329,589453.12,0
20960,2017-10-09,600036.SH,24.5124,24.6862,23.6801,23.8538,1002965.37,0
20961,2017-10-09,600048.SH,9.4522,9.5582,9.2931,9.3108,1109989.38,0
20962,2017-10-09,600050.SH,7.3305,7.35,7.0865,7.1158,4209440.45,0
20963,2017-10-09,600104.SH,26.4803,27.0716,26.4031,26.7973,475373.71,0
20964,2017-10-10,600000.SH,11.8779,11.9234,11.8142,11.9234,274939.86,1
20965,2017-10-10,600009.SH,37.5417,37.9695,36.1513,36.7735,109140.46,1
20966,2017-10-10,600016.SH,5.9496,5.9789,5.9423,5.9789,595837.36,1
20967,2017-10-10,600028.SH,4.728,4.736,4.6958,4.7119,673372.43,1
20968,2017-10-10,600030.SH,17.1309,17.2538,16.9985,17.2349,694253.65,1
20969,2017-10-10,600031.SH,7.3196,7.3573,7.263,7.3479,399933.31,1
20970,2017-10-10,600036.SH,23.8264,24.2837,23.2502,23.8904,1052506.62,1
20971,2017-10-10,600048.SH,9.355,9.3903,9.1871,9.2401,779299.68,1
20972,2017-10-10,600050.SH,7.0963,7.1451,6.9791,7.0279,3356993.91,1
20973,2017-10-10,600104.SH,26.8231,26.9516,25.6576,26.1289,566905.41,1
20974,2017-10-11,600000.SH,11.9052,11.9325,11.8597,11.887,187063.08,2
20975,2017-10-11,600009.SH,36.8027,38.0181,36.7735,37.5611,77863.46,2
20976,2017-10-11,600016.SH,5.9789,6.0156,5.9716,6.0009,637057.35,2
20977,2017-10-11,600028.SH,4.7199,4.728,4.6958,4.7199,585470.04,2
20978,2017-10-11,600030.SH,17.2349,17.2349,17.0269,17.0647,645379.78,2
20979,2017-10-11,600031.SH,7.3479,7.3573,7.3007,7.3196,299823.81,2
20980,2017-10-11,600036.SH,23.8264,24.0093,23.6984,23.8173,483999.77,2
20981,2017-10-11,600048.SH,9.2666,9.355,9.1606,9.2225,747032.72,2
20982,2017-10-11,600050.SH,7.0084,7.0279,6.9108,6.9791,2712754.37,2
20983,2017-10-11,600104.SH,26.3089,27.2858,26.266,27.2001,547914.75,2
20984,2017-10-12,600000.SH,11.8779,11.9143,11.8051,11.8779,171252.84,3
20985,2017-10-12,600009.SH,37.6292,39.3502,37.5611,38.8835,100514.94,3
20986,2017-10-12,600016.SH,6.0009,6.0082,5.9716,5.9789,503306.7,3
20987,2017-10-12,600028.SH,4.7199,4.7199,4.6716,4.6877,804003.97,3
20988,2017-10-12,600030.SH,17.0552,17.112,16.9418,17.0174,485657.83,3
20989,2017-10-12,600031.SH,7.329,7.4045,7.2913,7.3667,373612.39,3
20990,2017-10-12,600036.SH,23.9087,24.2837,23.8173,24.1191,478422.07,3
20991,2017-10-12,600048.SH,9.2313,9.2313,9.037,9.1165,784082.13,3
20992,2017-10-12,600050.SH,7.0182,7.2329,6.9694,7.1451,4036318.29,3
20993,2017-10-12,600104.SH,27.3372,27.6629,27.0287,27.5172,256751.47,3
20994,2017-10-13,600000.SH,11.8415,11.9052,11.7596,11.7778,208575.78,4
20995,2017-10-13,600009.SH,38.903,39.6711,38.7085,38.9321,51470.86,4
20996,2017-10-13,600016.SH,5.9789,6.0009,5.9789,5.9862,299845.01,4
20997,2017-10-13,600028.SH,4.6796,4.6796,4.6474,4.6796,782776.16,4
20998,2017-10-13,600030.SH,17.0269,17.112,16.9512,17.0174,483466.75,4
20999,2017-10-13,600031.SH,7.3573,7.5082,7.3384,7.4516,629342.92,4
