date,account_value
2020-01-22,1075869.4140288
2020-01-23,1045850.0540288003
2020-02-03,967314.2008288002
2020-02-04,1034024.5704288002
2020-02-05,1065863.4712288
2020-02-06,1085876.8884288003
2020-02-07,1087241.5440288002
2020-02-10,1072231.8640288
2020-02-11,1094973.0608288003
2020-02-12,1097399.1152288003
2020-02-13,1097702.3720288002
2020-02-14,1091637.2360288
2020-02-17,1085118.7464288003
2020-02-18,1076172.6708288002
2020-02-19,1092850.2632288001
2020-02-20,1118928.8164288
2020-02-21,1102099.5956288003
2020-02-24,1059495.0784288002
2020-02-25,1040088.1748288004
2020-02-26,1024471.9812288001
2020-02-27,1024926.8664288003
2020-02-28,996272.1620288001
2020-03-02,1043120.7428288002
2020-03-03,1041604.4588288002
2020-03-04,1086938.2872288001
2020-03-05,1106798.5444288002
2020-03-06,1088606.1996288002
2020-03-09,1067531.3836288
2020-03-10,1076475.9276288003
2020-03-11,1062679.2748288002
2020-03-12,1055857.5284288
2020-03-13,1044940.2836288003
2020-03-16,1003701.9536288002
2020-03-17,970346.7688288003
2020-03-18,959732.7808288003
2020-03-19,924861.3120288003
2020-03-20,952911.0344288003
2020-03-23,899239.1756288003
2020-03-24,942600.3032288003
2020-03-25,981262.4820288003
2020-03-26,970346.7688288003
2020-03-27,941387.2760288003
2020-03-30,905001.0548288003
2020-03-31,921981.9040288002
2020-04-01,934868.7864288002
2020-04-02,948210.5540288003
2020-04-03,961249.0648288003
2020-04-07,958368.1252288002
2020-04-08,969436.9984288003
2020-04-09,994452.6212288003
2020-04-10,994300.9928288002
2020-04-13,983991.7932288002
2020-04-14,1002185.6696288004
2020-04-15,993846.1076288002
2020-04-16,988843.9020288002
2020-04-17,1026746.4072288004
2020-04-20,1030385.4888288002
2020-04-21,1011281.8420288003
2020-04-22,1020076.2892288003
2020-04-23,1076172.6708288002
2020-04-24,1068896.0392288002
2020-04-27,1036905.5100288002
2020-04-28,1068896.0392288002
2020-04-29,1044030.5132288001
2020-04-30,1071928.6072288002
2020-05-06,1064498.8156288
2020-05-07,1037057.1384288003
2020-05-08,1046153.3108288003
2020-05-11,1040088.1748288004
2020-05-12,1029475.7184288002
2020-05-13,1044788.6552288004
2020-05-14,1017195.3496288002
2020-05-15,994604.2496288003
2020-05-18,1019318.1472288001
2020-05-19,1048882.6220288002
2020-05-20,1026443.1504288003
2020-05-21,1021592.5732288003
2020-05-22,993087.9656288002
2020-05-25,1007491.1320288002
2020-05-26,1045546.7972288002
2020-05-27,1036753.8816288002
2020-05-28,1038573.4224288004
2020-05-29,1097550.7436288001
2020-06-01,1130147.7864288003
2020-06-02,1123476.1368288002
2020-06-03,1116351.1336288
2020-06-04,1093608.4052288001
2020-06-05,1126205.4480288
2020-06-08,1126508.7048288002
2020-06-09,1151222.6024288
2020-06-10,1147886.7776288001
2020-06-11,1150464.4604288002
2020-06-12,1137122.6928288
